127.0.0.1 - - [03/Jun/2022:10:28:29 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [03/Jun/2022:10:28:29 +0900] "GET /SpringBoards/index.jsp HTTP/1.1" 200 1058
0:0:0:0:0:0:0:1 - - [03/Jun/2022:10:28:30 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [03/Jun/2022:10:28:33 +0900] "GET /SpringBoards/authManager HTTP/1.1" 200 1056
0:0:0:0:0:0:0:1 - - [03/Jun/2022:10:28:36 +0900] "GET /SpringBoards/memberList HTTP/1.1" 200 4684
0:0:0:0:0:0:0:1 - - [03/Jun/2022:10:28:36 +0900] "GET /jscss/js/common.js HTTP/1.1" 404 833
0:0:0:0:0:0:0:1 - - [03/Jun/2022:11:13:33 +0900] "GET /SpringBoards/authManager HTTP/1.1" 200 1056
0:0:0:0:0:0:0:1 - - [03/Jun/2022:11:13:36 +0900] "GET /SpringBoards/authList HTTP/1.1" 200 6652
0:0:0:0:0:0:0:1 - - [03/Jun/2022:11:13:36 +0900] "GET /jscss/js/authList/authList.js HTTP/1.1" 404 848
0:0:0:0:0:0:0:1 - - [03/Jun/2022:11:13:36 +0900] "GET /jscss/js/common.js HTTP/1.1" 404 833
0:0:0:0:0:0:0:1 - - [03/Jun/2022:11:16:16 +0900] "GET /SpringBoards/authManager HTTP/1.1" 200 1056
0:0:0:0:0:0:0:1 - - [03/Jun/2022:11:16:18 +0900] "GET /SpringBoards/authList HTTP/1.1" 200 6654
0:0:0:0:0:0:0:1 - - [03/Jun/2022:11:16:18 +0900] "GET /jscss/js/authList/authList.js HTTP/1.1" 404 848
0:0:0:0:0:0:0:1 - - [03/Jun/2022:11:16:18 +0900] "GET /jscss/js/common.js HTTP/1.1" 404 833
0:0:0:0:0:0:0:1 - - [03/Jun/2022:11:16:23 +0900] "GET /SpringBoards/authList?authNameSearch= HTTP/1.1" 200 6654
0:0:0:0:0:0:0:1 - - [03/Jun/2022:11:16:23 +0900] "GET /jscss/js/authList/authList.js HTTP/1.1" 404 848
0:0:0:0:0:0:0:1 - - [03/Jun/2022:11:16:23 +0900] "GET /jscss/js/common.js HTTP/1.1" 404 833
0:0:0:0:0:0:0:1 - - [03/Jun/2022:11:16:25 +0900] "POST /SpringBoards/deleteBoard HTTP/1.1" 404 141
0:0:0:0:0:0:0:1 - - [03/Jun/2022:11:16:29 +0900] "GET /SpringBoards/memberList HTTP/1.1" 200 5142
0:0:0:0:0:0:0:1 - - [03/Jun/2022:11:16:29 +0900] "GET /jscss/js/common.js HTTP/1.1" 404 833
